Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
17,1.5447E+12,13/12/2018 11:00,1.5447E+12,0,13/12/2018 11:00,4424,9,task-z5kw,,1974573,,520944,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 70.0.3538.110,1920x1080,1758x787,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,15,1,Screen 1,buttonB,response_button_text,2070.2,ballow,1,1,0,0,,,,recognition_A,,1,recog-trial,ballow,money.PNG,parung,ballow,pareng,ballew,parung.mp3,ballow.mp3,pareng.mp3,ballew.mp3
18,1.5447E+12,13/12/2018 11:00,1.5447E+12,0,13/12/2018 11:00,4424,9,task-z5kw,,1974573,,520944,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 70.0.3538.110,1920x1080,1758x787,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,advancementZone,continue_button,1074.2,,,0,1,0,,,,recognition_A,,,recog-Finish,,,,,,,,,,
19,1.5447E+12,13/12/2018 11:00,1.5447E+12,0,13/12/2018 11:00,4424,9,task-z5kw,,1974573,,520944,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 70.0.3538.110,1920x1080,1758x787,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,END TASK,,,,,37564,,,0,1,0,,,,,,,,,,,,,,,,,
1,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,advancementZone,continue_button,1208.4,,,0,1,0,,,,recognition_A,,,recog-Instructions,,,,,,,,,,
3,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,Zone1,content_audio,1863,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,tabric,zookeeper.PNG,peflin,tabric,peflun,tabroc,peflin.mp3,tabric.mp3,peflun.mp3,tabroc.mp3
4,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,buttonA,response_button_text,4709.1,peflin,1,0,1,0,,,,recognition_A,,1,recog-trial,tabric,zookeeper.PNG,peflin,tabric,peflun,tabroc,peflin.mp3,tabric.mp3,peflun.mp3,tabroc.mp3
5,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,buttonB,response_button_text,1905.9,mowil,1,0,1,0,,,,recognition_A,,1,recog-trial,rafar,animal.PNG,rafer,mowil,rafar,mowel,rafer.mp3,mowil.mp3,rafar.mp3,mowel.mp3
6,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,3,1,Screen 1,buttonB,response_button_text,1141.7,ballow,1,1,0,0,,,,recognition_A,,1,recog-trial,ballow,money.PNG,parung,ballow,pareng,ballew,parung.mp3,ballow.mp3,pareng.mp3,ballew.mp3
7,1.54411E+12,06/12/2018 15:45,1.54411E+12,0,06/12/2018 15:45,4424,9,task-z5kw,,1944842,,512169,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.1,Chrome 70.0.3538.110,1280x800,1280x638,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,4,1,Screen 1,buttonA,response_button_text,2456.7,parung,1,1,0,0,,,,recognition_A,,1,recog-trial,parung,sun.PNG,parung,vorgil,vorgal,pareng,parung.mp3,vorgil.mp3,vorgal.mp3,pareng.mp3
